game,console,Publisher,Release_Year,Release_Month,Release_Day,Total_Shipped,NA_Sales,PAL_Sales,Japan_Sales,Other_Sales,NS,PS4,XBOX ONE,PC,Genre,VGChartz Score,Metacritic(Critic),Metacritic(User),4Players,Destructoid,Edge,EGM,Game Informer,GameRevolution,GameSpot,GamesRadar+,IGN,Famitsu,Famitsu*5/2,Introduction,url
Super Mario 3D All-Stars,NS,Nintendo,2020,9,18,9010000,0,0,0,0,1,0,0,0,"Miscellaneous, Compilation",70,82,63,87,85,0,0,0,70,80,80,0,0,#VALUE!,"Super Mario 3D All-Stars is a 2020 compilation of platform games for the Nintendo Switch. It commemorates the 35th anniversary of Nintendo's Super Mario franchise, with high-definition ports of Super Mario 64 (1996), Super Mario Sunshine (2002), and Super Mario Galaxy (2007).",https://upload.wikimedia.org/wikipedia/en/0/01/Super_Mario_3D_All_Stars.jpg
Super Mario Maker 2,NS,Nintendo,2019,6,28,7150000,0,0,0,0,1,0,0,0,"Action, Platformer",0,88,85,0,0,0,80,87.5,90,80,90,95,0,#VALUE!,"Super Mario Maker 2 is a 2019 side-scrolling platform game and game creation system developed and published by Nintendo for the Nintendo Switch. It is the sequel to Super Mario Maker and was released worldwide on June 28, 2019. The gameplay is largely retained from that of its predecessor, in which players create their own custom courses using assets from various games across the Super Mario franchise and share them online. Super Mario Maker 2 introduces new features and course assets, including a single player story mode and new level assets based on Super Mario 3D World.",https://upload.wikimedia.org/wikipedia/en/c/c7/Super_Mario_Maker_2.jpg
Monster Hunter Rise,NS,Capcom,2021,3,26,7000000,0,0,0,0,1,0,0,0,"Role-Playing, Action RPG",70,88,91,87,90,0,0,78,85,90,80,80,38,95,"Monster Hunter Rise is an action role-playing game developed and published by Capcom for the Nintendo Switch. It is the sixth mainline installment in the Monster Hunter series after Monster Hunter: World (2018) and was released worldwide on March 26, 2021. A Microsoft Windowsversion is currently in development and is planned for an early 2022 release.",https://upload.wikimedia.org/wikipedia/en/4/41/Monster_hunter_rise_cover.jpg
Super Mario 3D World + Bowser's Fury,NS,Nintendo,2021,2,12,5590000,0,0,0,0,1,0,0,0,"Action, Platformer, 3D",0,89,85,90,100,90,80,92.5,90,90,90,96,38,95,"Super Mario 3D World is a platform game developed and published by Nintendo for the Wii U in November 2013. It is the sixth original 3D platform game in the Super Mario series and the sequel to Super Mario 3D Land (2011) for the Nintendo 3DS. The game follows Mario and friends attempting to rescue fairy-like creatures called Sprixies from Bowser, who invades the realm known as the Sprixie Kingdom. The gameplay is similar to previous installments of the series, with players passing through individual levels to reach Bowser. The game features a character selector as well as introducing a power-up called the Super Bell, which turns the player into a cat, enabling them to climb walls and use a scratch attack. An enhanced port with additional content, Super Mario 3D World + Bowser's Fury, was released for the Nintendo Switch on February 12, 2021.",https://upload.wikimedia.org/wikipedia/en/5/5e/Super_Mario_3D_World_box_art.jpg
The Legend of Zelda: Link's Awakening,NS,Nintendo,2019,9,20,5490000,0,0,0,0,1,0,0,0,"Action Adventure, Open-World",80,87,84,90,90,0,80,90,60,80,80,94,0,#VALUE!,"The Legend of Zelda: Link's Awakening[a] is a 1993 action-adventure game developed and published by Nintendo for the Game Boy. It is the fourth installment in the Legend of Zelda series and the first for a handheld game console. Link's Awakening is one of the few Zelda games not to take place in the land of Hyrule, and it does not feature Princess Zelda or the Triforce relic. Instead, protagonist Link begins the game stranded on Koholint Island, a place guarded by a whale-like deity called the Wind Fish. Assuming the role of Link, the player fights monsters and solves puzzles while searching for eight musical instruments that will awaken the sleeping Wind Fish and allow him to escape from the island.",https://upload.wikimedia.org/wikipedia/en/7/74/The_Legend_of_Zelda_Link%27s_Awakening_%282019_video_game%29.jpg
Hyrule Warriors: Age of Calamity,NS,Nintendo,2020,11,20,3700000,0,0,0,0,1,0,0,0,"Action, Beat-'Em-Up, 3D",50,78,79,80,85,0,80,75,0,60,80,90,36,90,"Hyrule Warriors: Age of Calamity is a hack-and-slash video game developed by Omega Force. It was published by Koei Tecmo in Japan and by Nintendo internationally for the Nintendo Switch console in 2020. In the story, set 100 years before the events of The Legend of Zelda: Breath of the Wild,[1] Link and Princess Zelda must gather allies across Hyrule to fend off forces led by the evil Calamity Ganon, who is attempting to revive himself and destroy the kingdom.",https://upload.wikimedia.org/wikipedia/en/e/e1/Hyrule_Warriors_Age_Of_Calamity.jpg
1-2-Switch,NS,Nintendo,2017,3,3,3180000,0,0,0,0,1,0,0,0,"Miscellaneous, Party, Minigame",57,58,48,0,45,0,0,40,0,60,0,68,0,#VALUE!,"1-2-Switch is a party game developed and published by Nintendo as a launch title for the Nintendo Switch, which was released worldwide on March 3, 2017.[1] The game extensively uses the system's Joy-Con controllers, with players facing each other performing various minigames.[2][3] By the end of 2019, it sold 3.18 million copies worldwide, making it one of the best-selling games on the platform.",https://upload.wikimedia.org/wikipedia/en/2/21/1-2-Switch.jpg
Clubhouse Games: 51 Worldwide Classics,NS,Nintendo,2020,6,5,3140000,0,0,0,0,1,0,0,0,"Miscellaneous, Party, Minigame",80,82,76,78,85,0,100,0,0,0,0,80,0,#VALUE!,"Clubhouse Games: 51 Worldwide Classics, known as 51 Worldwide Games in Europe and Australia, is a party video game developed by NDcube and published by Nintendo for the Nintendo Switch. This game is a successor to Clubhouse Games (2005) for the Nintendo DS and is a compilation of board, card, tabletop, and toy sports games from around the world. It was released worldwide on June 5, 2020, and more than 3.14 million copies have been sold worldwide by April 2021.",https://upload.wikimedia.org/wikipedia/en/7/72/Clubhouse_Games_51_Worldwide_Classics.jpg
Paper Mario: The Origami King,NS,Nintendo,2020,7,17,3120000,0,0,0,0,1,0,0,0,"Role-Playing, General",80,80,69,88,0,0,60,77.5,0,80,0,70,36,90,"Paper Mario: The Origami King[a] is a 2020 cross-genre video game released exclusively for the Nintendo Switch console. Developed by Intelligent Systems and published by Nintendo, it is the sixth game in the Paper Mario series, part of the larger Mario franchise. The story follows Mario and his friends as he sets out on a journey to prevent the Mushroom Kingdom from being transformed into origami. To do so, Mario must free Princess Peach's castle from five decorative streamers that extend across the kingdom.",https://upload.wikimedia.org/wikipedia/en/5/59/Paper_Mario_The_Origami_King.jpg
Mario Tennis Aces,NS,Nintendo,2018,6,22,3060000,0,0,0,0,1,0,0,0,"Sports, Individual, Tennis",78,75,71,0,0,0,0,80,80,70,80,75,0,#VALUE!,"Mario Tennis Aces[a] is a tennis game developed by Camelot Software Planning and published by Nintendo for the Nintendo Switch. Part of the Mario Tennis series, it was released worldwide on June 22, 2018. The game sold over 3 million copies by the end of 2019, making it one of the best-selling games on the Switch.",https://upload.wikimedia.org/wikipedia/en/1/13/Mario_Tennis_Aces.jpg
